Case #,Crime,Occurred (Averaged),Location
20-00263,Caslty: Injury/Illness,2020-02-05 10:47,Evans Hall; Evans Hall
20-00264,148.4 (A): PC; Tamper/Etc With Fire Alarm/Equipment (Amended),2020-02-04 18:00,Edwards Stadium; Edwards Stadium
20-00267,Caslty: Injury/Illness,2020-02-05 17:01,I House
20-00269,484: PC; Theft,2020-02-05 17:30,Sdh; Sdh
20-00270,487 (A): PC; Grand Theft:money/Labor/Property Over $950,2020-02-05 19:40,Mlk; Mlk
20-00271,OABPD: Outside Assist - BPD,2020-02-05 19:36,2500 Channing Wy (Rev. 09/04/18)
20-00272,Caslty: Injury/Illness,2020-02-06 03:07,735 West End Wy #103
20-00273,647 (H): PC; Disorderly Conduct:peek Into Inhabited Building (Amended),2020-02-06 10:42,70 Hesse Hall
20-00274,484 G: PC; Theft By Use of Access Card Information,2020-01-31 12:00,Haviland Hall
20-00275,Found Prop.: Found Property,2020-02-06 09:10,Wheeler Hall; Wheeler Hall
20-00276,Lost Prop.: Lost Property,2020-02-06 11:51,MLK JR Wy
20-00277,5150: WI; 72 Hour Mental Health Hold,2020-02-06 13:15,2528 Durant Av
20-00278,484: PC; Theft,2020-02-06 13:07,Hesse Hall; Hesse Hall
20-00279,484 G: PC; Theft By Use of Credit Card [over $400] (Amended),2020-02-01 10:20,2220 Piedmont Av; Haas Business School
20-00280,20001 (A): VC; Hit and Run Resulting In Injury Or Death,2020-02-06 19:48,Cyclotron Rd
20-00281,1203.2: PC; Probation Violation:rearrest/Revoke [state Specific Crime] 166 (A)(4): PC; Contempt of Court:disobey Court Order/Etc,2020-02-06 22:52,2600 Bancroft Wy (Rev. 09/04/18)
20-00282,4464: VC; Display Altered License Plates,2020-02-07 02:35,Fulton St S Channing Wy
20-00283,374.3: PC; Dump Waste/Rocks/Etc,2020-02-07 10:17,2650 Haste St
20-00284,"OUT WRTF: Other Agency Warrant, Fel",2020-02-07 09:50,2470 Bancroft Wy
20-00285,Civil: Civil Information Report,2020-02-07 13:33,2736 Bancroft Wy
20-00287,Caslty: Injury/Illness,2020-02-07 20:56,Mlk; Mlk
20-00288,Caslty: Injury/Illness,2020-02-07 21:10,Hearst Mining Cr (Rev. 09/04/18)
20-00289,Caslty: Injury/Illness,2020-02-08 03:02,2650 Durant Av
20-00290,Caslty: Injury/Illness,2020-02-08 03:14,2400 Bancroft Wy #Restroom; Blackwell Hall
20-00291,602: PC; Tresspassing,2020-02-08 03:00,Stern Hall #119
20-00292,Found Prop.: Found Property,2020-02-08 05:39,Mlk
20-00293,Caslty: Injury/Illness,2020-02-08 12:24,2601 Warring St; Ckc-10
20-00294,Civil: Civil Information Report,2020-02-08 17:06,Ucpd
20-00295,Civil: Civil Information Report,2020-02-08 17:20,Ucpd
20-00296,Caslty: Injury/Illness,2020-02-08 20:53,Stern Hall #105; Stern Hall (Rev. 09/04/18)
20-00297,Caslty: Injury/Illness,2020-02-09 00:19,2650 Haste St; Unit-2 Davidson
20-00298,PRODAM: Property Damage,2020-02-09 11:06,2601 Warring St
20-00299,Caslty: Injury/Illness,2020-02-09 13:18,2301 Bancroft Wy; Rec Sprt Fac
20-00301,594 (A)(1): PC; Maliciously Deface W/Paint/Etc,2020-02-09 21:23,Lower Sproul Pz
20-00302,484/488: PC; Theft/Petty Theft,2020-02-09 19:07,Eshleman Hall #11; Eshleman Hall (Rev. 09/04/18)
20-00304,PRODAM: Property Damage,2020-02-10 06:52,Optometry Clinic South Side
20-00305,PRODAM: Property Damage,2020-02-10 08:44,Wheeler Hall #150
20-00306,10-42: Welfare Check,2020-02-10 11:00,Barrows Hall
20-00310,484: PC; Theft,2020-02-10 14:45,2301 Bancroft Wy
20-00311,594: PC; Malicious Mischief/Vandalism,2020-02-10 15:21,Pauley Ballroom
20-00312,PRODAM: Property Damage Caslty: Injury/Illness,2020-02-10 18:44,Cheit Lane &
20-00313,278.5 (A): PC; Deprive Right of Custody/Visitation 273.6 (A): PC; Violate Court Order to Prevent Domestic Violence OA Assist: Outside Agency Assist,2020-02-10 14:55,1001 Santa Fe Ave
20-00314,594: PC; Malicious Mischief/Vandalism,2020-01-21 10:26,West Crescent
20-00315,MISC: Miscellaneous Report,2020-02-10 20:29,Soda Hall #510; Soda Hall (Rev. 09/04/18)
20-00316,RULES: Rules Violation,2020-02-11 06:32,2199 Addison St
20-00317,484 G(A): PC; Theft By Forged/Invalid Credit Card [over $400] (Amended),2020-02-11 08:47,Sutardja Dai Hall #520; Sutardja Dai Hall
20-00318,Lost Prop.: Lost Property,2020-02-09 13:00,2220 Piedmont Av
20-00319,INFO: Information Only Report,2020-02-11 09:59,Valley Life Science Bldg; Valley Life Science Bldg
20-00321,594: PC; Malicious Mischief/Vandalism,2020-02-11 14:57,2601 Warring St; Ckc-22
20-00322,Lost Prop.: Lost Property,2020-02-11 15:12,2220 Piedmont Av
20-00324,664/484: PC; Attempted Petty Theft,2020-02-09 18:20,1040 JACKSON #409
20-00325,MP: Missing Person,2020-02-11 20:44,Sproul Hall; Sproul Hall
20-00326,Caslty: Injury/Illness,2020-02-11 21:40,Maxwell Field
20-00327,647 (E): PC; Disorderly Conduct:lodge Without Owners Consent 148.9: PC; False Identification to Peace Officer (Amended),2020-02-11 22:52,Ellsworth Parking Structure
20-00328,MISC: Miscellaneous Report,2020-02-11 23:44,1 Sproul Hall (Rev. 09/04/18)
20-00329,11364: HS; Possess Controlled Substance Paraphernalia,2020-02-12 06:03,Upper Sproul Pz; Upper Sproul Pz
20-00330,459V-F: PC; Burglary Vehicle,2020-02-12 09:15,Underhill Lot
20-00331,Civil: Civil Information Report,2020-02-12 10:31,2030 Dwight Wy #304
20-00333,Caslty: Injury/Illness,2020-02-12 12:13,Evans Hall #60; Evans Hall
20-00334,Lost Prop.: Lost Property,2020-02-05 21:00,Mlk
20-00335,DEMO: Demonstration,2020-02-12 12:12,California Hall
20-00336,484: PC; Theft,2020-02-12 15:16,Mlk
20-00338,Found Prop.: Found Property,2020-02-12 18:39,Bechtel Hall
20-00339,594: PC; Malicious Mischief/Vandalism,2020-01-28 10:01,Hearst Mining Building
20-00340,10-42: Welfare Check,2020-02-12 21:43,Max Martinez #443D (Rev. 09/04/18)
20-00341,290.018 (G): PC; 290 Violation Tran 30 Day Update,2020-02-13 00:03,2018 Oxford St
20-00342,314.1: PC; Indecent Exposure W/Prior,2020-02-13 00:24,Bancroft Wy WEST Dana St
20-00343,11377 (A): HS; Possess Controlled Substance 11364: HS; Possess Controlled Substance Paraphernalia,2020-02-13 00:27,2199 Addison St; University Hall
20-00349,22651(n): VC; Posted Tow Away Zone,2020-02-13 15:59,747 Red Oak Av
20-00350,Caslty: Injury/Illness,2020-02-13 21:04,East Asian Library; East Asian Library
20-00352,484: PC; Petty Theft,2020-02-13 21:37,2301 Bancroft Wy; RSF
20-00353,602 (M): PC; Trespass:drive On Private Property (Amended) 626: Exclusion Order Issued,2020-02-13 23:19,Gpb; Gpb (Rev. 09/04/18)
20-00354,166 (A)(4): PC; Contempt of Court:disobey Court Order/Etc 1203.2: PC; Probation Violation:rearrest/Revoke [state Specific Crime],2020-02-14 01:25,Evans Hall
20-00355,647 (E): PC; Disorderly Conduct:lodge Without Owners Consent,2020-02-14 06:42,2199 Addison St
20-00358,594: PC; Malicious Mischief/Vandalism,2020-02-14 10:22,Ellsworth Parking Structure; Ellsworth Parking Structure
20-00360,484 G(B): PC; Theft:misrepresent As Access Card Holder,2020-02-13 16:05,600 Gooding Wy #616
20-00361,286: PC; Sodomy,2019-01-27 18:00,Unknown
20-00362,Found Prop.: Found Property,2020-02-14 14:46,1 Sproul Lot
20-00363,273.6: PC; Violate Court Order to Prevent Domestic Violence,2020-02-14 15:00,Stanley Hall; Stanley Hall
20-00365,405 A: PC; Lynching 664: PC; Attempt Crime [state Specific Crime] 148 (B): PC; Remove/Etc Police Officer/Etc Weapon:non-Firearm 407: PC; Unlawful Assembly,2020-02-14 20:02,Coolidge Dr & Hide St (Rev. 09/04/18)
20-00366,23152 (B): VC; Dui Alcohol/008 Percent 23152 (A): VC; Dui Alcohol,2020-02-15 02:14,1928 Stadium Rimway Lot
20-00367,5150: WI; 72 Hour Mental Health Hold,2020-02-15 02:50,2400 Durant Av; Unit-3 Norton
20-00368,647 (E): PC; Disorderly Conduct:lodge Without Owners Consent,2020-02-15 08:24,2199 Addison St
20-00369,594 (A)(2): VC; Vandalism Less Than $400,2020-02-15 09:33,865 Kinkead Wy #103
20-00371,10851 (A): VC; Take Vehicle W/O Owner's Consent/Vehicle Theft,2020-02-15 18:52,Shattuck Av SOUTH Berkeley Wy
20-00372,10851 (A): VC; Take Vehicle W/O Owner's Consent/Vehicle Theft,2020-02-15 19:42,Haas Pavilion; Haas Pavilion (Rev. 09/04/18)
20-00373,Caslty: Injury/Illness,2020-02-16 01:13,2400 Bancroft Wy; Blackwell Hall
20-00374,487 (A): PC; Grand Theft:money/Labor/Property Over $950,2020-02-16 01:00,540 RED OAK #205
20-00375,10851 (A): VC; Take Vehicle W/O Owner's Consent/Vehicle Theft,2020-02-15 20:22,400 Ohlone Av #102
20-00376,459: PC; Burglary: First Degree,2020-02-15 18:00,400 Ohlone Av #102
20-00377,Caslty: Injury/Illness,2020-02-16 14:26,Uva
20-00378,Civil: Civil Information Report,2020-02-16 17:29,Lower Sproul Pz
20-00379,Caslty: Injury/Illness,2020-02-16 23:51,2601 Warring St (Rev. 09/04/18)
20-00380,Caslty: Injury/Illness,2020-02-17 00:02,2650 Haste St #801; Unit-2 Cunningham
20-00381,496 (D): PC; Attempt to Commit 496 Pc:stolen Property 2800 (A): VC; Fail to Obey Peace Officer:lawful Order Or Inspection,2020-02-17 10:46,Shattuck Av & Dwight Wy
20-00382,415: PC; Disturb The Peace,2020-02-17 15:44,Peoples Park
20-00383,OA Assist: Outside Agency Assist,2020-02-17 17:04,Ucpd
20-00384,Lost Prop.: Lost Property,2020-02-17 22:01,Campus (Rev. 09/04/18)
20-00385,OA Assist: Outside Agency Assist,2020-02-18 00:12,Cory Hall
20-00387,594: PC; Malicious Mischief/Vandalism,2020-02-18 01:25,Wellman Courtyard
20-00388,22651(o)(1): VC; Stored Vehicle-Registration Expired Over 6 Months,2020-02-18 08:34,Peoples Park
20-00389,459: PC; Burglary: First Degree,2020-02-18 09:06,Underhill Lot
20-00391,Caslty: Injury/Illness,2020-02-18 10:20,2199 Addison St
20-00393,Caslty: Injury/Illness,2020-02-18 18:05,Etcheverry Hall #3106; Etcheverry Hall
20-00394,459V-F: PC; Burglary Vehicle,2020-02-17 23:00,786 RED OAK AVE #793 (Rev. 09/04/18)
20-00395,484: PC; Theft,2020-02-19 00:45,580 Ohlone Av
20-00396,Caslty: Injury/Illness,2020-02-19 11:10,Bancroft Wy & Ellsworth St
20-00397,484/488: PC; Theft/Petty Theft,2020-02-19 11:06,Mlk; Mlk
20-00398,626.6 (A): PC; Nonstudent Refuse to Leave Campus 1203.2 (A): PC; Probation Violation:rearrest/Revoke,2020-02-19 13:37,Pat Browns Grill; Pat Browns Grill
20-00399,484: PC; Theft,2020-02-18 12:00,Sather Gate
20-00400,Civil: Civil Information Report,2020-02-19 10:15,1040 Jackson St; Uva Community Center
20-00401,Found Prop.: Found Property,2020-02-19 19:27,Evans Hall; Evans Hall (Rev. 09/04/18)
20-00402,11364 (A): HS; Possess Unlawful Paraphernalia (Renumbered),2020-02-20 06:13,2199 Addison St; University Hall
20-00403,Found Prop.: Found Property,2020-02-20 07:19,Ucpd; Ucpd
20-00404,487 (A): PC; Grand Theft:money/Labor/Property Over $950,2020-02-20 10:03,Dwinelle Hall; Dwinelle Hall
20-00405,602: PC; Tresspassing,2020-02-20 11:02,Memorial Stadium RSF
20-00406,166 (A)(4): PC; Contempt of Court:disobey Court Order/Etc 1203.2 (A): PC; Probation Violation:rearrest/Revoke,2020-02-20 13:53,1050 San Pablo Av
20-00407,Lost Prop.: Lost Property,2020-02-20 14:40,2121 Dwight Wy
20-00408,Civil: Civil Information Report,2020-02-20 10:30,Sproul Hall; Sproul Hall
20-00409,459.5 (A): PC; Burglary: Retail Merchandise Less Than $950,2020-02-20 16:06,Mlk
20-00410,484: PC; Theft,2020-02-20 16:30,Moffitt Library; Moffitt Library
20-00411,Civil: Civil Information Report,2020-02-20 18:20,2415 Bowditch St; Crossroads
20-00412,"OUT WRTM: Other Agency Warrant, Misd",2020-02-20 21:57,1040 Jackson St (Rev. 09/04/18)
20-00413,166 (A)(4): PC; Contempt of Court:disobey Court Order/Etc 1203.2: PC; Probation Violation:rearrest/Revoke [state Specific Crime],2020-02-20 22:30,2626 Bancroft Wy
20-00414,487 (A): PC; Grand Theft:money/Labor/Property Over $950,2020-02-20 23:15,(Rev. 09/04/18)
20-00415,594 (B)(2)(A): PC; Vandalism Less Than $400,2020-02-17 09:45,Smyth-Fernwald; Smyth-Fernwald
20-00416,OABPD: Outside Assist - BPD 459V-F: PC; Burglary Vehicle,2020-02-17 22:00,2367 Shattuck Av
20-00417,Lost Prop.: Lost Property,2020-02-20 20:20,3550 Fruitvale Ave
20-00418,PRODAM: Property Damage,2020-02-20 20:45,Strawberry Center; Strawberry Center
20-00420,487 (A): PC; Grand Theft:money/Labor/Property Over $950,2020-02-21 14:25,2200 Bancroft Wy
20-00422,MISC: Miscellaneous Report,2020-02-21 14:55,Lbnl-65
20-00423,INFO: Information Only Report,2020-02-21 14:52,Doe Library
20-00424,Caslty: Injury/Illness,2020-02-21 17:34,Soda Hall
20-00425,DEMO: Demonstration,2020-02-21 13:56,2415 Bowditch St
20-00426,10852: VC; Tamper With Vehicle,2020-02-21 13:10,Lower Hearst Parking Structure; Lower Hearst Parking Structure
20-00427,10851 (A): VC; Take Vehicle W/O Owner's Consent/Vehicle Theft,2020-02-21 18:13,Memorial Stadium
20-00428,10852: VC; Tamper With Vehicle,2020-02-21 00:15,Uva; Uva (Rev. 09/04/18)
20-00429,PRODAM: Property Damage,2020-02-20 23:47,1111 Franklin St
20-00430,166 (A)(4): PC; Contempt of Court:disobey Court Order/Etc 1203.2: PC; Probation Violation:rearrest/Revoke [state Specific Crime],2020-02-22 00:29,West Cr; West Cr
20-00431,Caslty: Injury/Illness,2020-02-22 02:07,2424 Channing Wy #229
20-00432,Caslty: Injury/Illness,2020-02-22 01:55,2424 Channing Wy #307
20-00433,Caslty: Injury/Illness,2020-02-22 02:11,2400 Bancroft Wy #508; Blackwell Hall
20-00434,Caslty: Injury/Illness,2020-02-22 02:25,Grinnell Path; Grinnell Path
20-00435,487 (A): PC; Grand Theft:money/Labor/Property Over $950,2020-02-22 00:35,Stadium Rim Way &
20-00436,Caslty: Injury/Illness,2020-02-22 12:04,West Crescent At University Drive NE Corner
20-00437,487 (A): PC; Grand Theft of Money/Labor/Property Exceed $950 (Blocked),2020-02-22 09:10,Lower Hearst Parking Structure
20-00438,484 (A): PC; Theft,2020-02-22 12:00,Haas Pavilion Media Control Room
20-00439,488: PC; Petty Theft,2020-02-22 02:45,2650 Haste St
20-00440,"OUT WRTM: Other Agency Warrant, Misd",2020-02-22 23:07,Dwinelle Hall; Dwinelle Hall (Rev. 09/04/18)
20-00441,459: PC; Burglary: Second Degree,2020-02-22 23:45,Sproul Hall; Sproul Hall
20-00443,Caslty: Injury/Illness,2020-02-23 14:22,Moffitt Library
20-00444,PRODAM: Property Damage,2020-01-27 23:36,1301 S. 46th Street (Rev. 09/04/18)
20-00445,INFO: Information Only Report SUPP: Supplemental Reports,2020-02-24 09:11,Haviland Hall; Haviland Hall
20-00446,Lost Prop.: Lost Property,2020-02-24 10:18,Ucpd; Ucpd
20-00447,594: PC; Malicious Mischief/Vandalism,2020-02-24 11:21,Koshland Hall; Koshland Hall
20-00448,PRODAM: Property Damage,2020-02-24 01:10,730 Kinkead Wy
20-00449,5150: WI; 72 Hour Mental Health Hold,2020-02-24 14:34,2222 Bancroft Wy; Tang Center
20-00450,5150: WI; 72 Hour Mental Health Hold,2020-02-24 16:45,Tang Center
20-00451,Civil: Civil Information Report,2020-02-24 17:27,Bowles Lot (Rev. 09/04/18)
20-00452,Caslty: Injury/Illness,2020-02-25 08:17,Lbnl #209; Lbnl
20-00453,484: PC; Theft,2020-02-25 15:41,2400 Durant Av
20-00454,10-42: Welfare Check,2020-02-25 15:37,Ucpd
20-00455,484 (A): PC; Theft,2020-02-25 17:02,Bancroft Library; Bancroft Library
20-00456,OABPD: Outside Assist - BPD,2020-02-20 15:45,2367 Telegraph Av
20-00457,5150: WI; 72 Hour Mental Health Hold,2020-02-25 18:12,Tang Center
20-00458,484: PC; Theft,2020-02-25 16:00,Evans Hall; Evans Hall
20-00459,594 (A)(1): PC; Maliciously Deface W/Paint/Etc,2020-02-25 20:23,West Crescent
20-00460,OTR VC: Other Vehicle Code Violation,2020-02-25 20:45,1952 Oxford St
20-00461,594: PC; Malicious Mischief/Vandalism,2020-02-22 09:25,Ellsworth Parking Structure (Rev. 09/04/18)
20-00462,273.5 (A): PC; Inflict Corporal Injury On Spouse/Cohabitant 273.6: PC; Violate Court Order to Prevent Domestic Violence,2020-02-26 00:47,Lhs Vista Lot; Lhs Vista Lot
20-00463,BITE: Animal Bite Report,2020-02-26 06:54,Kroeber Fountain; Kroeber Fountain
20-00464,"484: PC; Theft 148 (A)(1): PC; Resist/Obstruct Police Officer, Etc 11377 (A): HS; Possess Controlled Substance",2020-02-26 12:47,2199 Addison St; University Hall
20-00465,MISC: Miscellaneous Report,2020-02-26 12:00,Univ House; Univ House
20-00469,664: PC; Attempt Crime [state Specific Crime] 518: PC; Extortion,2020-02-26 17:40,Unknown/Internet
20-00470,PRODAM: Property Damage,2020-02-26 18:05,435 Gooding Wy #456
20-00471,240: PC; Assault,2020-02-26 21:10,Morrison Hall (Rev. 09/04/18)
20-00473,RULES: Rules Violation,2020-02-27 00:35,Peoples Park
20-00475,5150: WI; 72 Hour Mental Health Hold,2020-02-27 12:28,2120 University Av
20-00476,RULES: Rules Violation,2020-02-27 14:56,Moses Hall #109; Moses Hall
20-00477,5150: WI; 72 Hour Mental Health Hold,2020-02-27 16:06,Tang Center
20-00478,664/484: PC; Attempted Petty Theft,2020-02-27 18:22,2220 Piedmont Av
20-00479,Caslty: Injury/Illness,2020-02-27 20:00,Dwinelle Hall #104; Dwinelle Hall
20-00480,10851 (A): VC; Take Vehicle W/O Owner's Consent/Vehicle Theft,2020-02-27 17:15,Kroeber Pz; Kroeber Pz (Rev. 09/04/18)
20-00481,487 (A): PC; Grand Theft:money/Labor/Property Over $950 SUPP: Supplemental Reports,2020-02-28 00:48,Pimentel Hall
20-00482,10-42: Welfare Check,2020-02-28 02:36,2400 Durant Av
20-00483,242: PC; Battery 647 (F): PC; Disorderly Conduct:intox Drug With Alcohol 626: Exclusion Order Issued,2020-02-28 13:50,Kroeber Pz; Kroeber Pz
20-00484,10-42: Welfare Check,2020-02-28 14:20,Ucpd
20-00485,484 (A): PC; Petty Theft,2020-02-26 12:15,North Gate #105; North Gate
20-00486,Found Prop.: Found Property,2020-02-28 12:52,Doe Library; Doe Library
20-00487,Caslty: Injury/Illness,2020-02-28 17:03,Doe Library (Rev. 09/04/18)
20-00488,23152 (F) CVC; DUI any drug 11377 (A) HS; Possession of a controlled substance 4573 PC; Bringing controlled substance in a jail,2020-02-29 02:15,Addison St/Oxford St
20-00489,647 (F): PC; Disorderly Conduct:intox Drug With Alcohol 602 (M): PC; Trespass:drive On Private Property (Amended),2020-02-29 03:34,Lbnl-46
20-00491,10851 (A): VC; Take Vehicle W/O Owner's Consent/Vehicle Theft,2020-02-29 16:35,Haas Pavilion (Rev. 09/04/18)
20-00001,459: PC; Burglary: Second Degree,2020-01-01 00:00,1301 S. 46th Street
20-00002,11350 (A): HS; Possess Narcotic Controlled Substance 11550: HS; Use/Under Influence Controlled Substance 23222 (B): VC; Possess Marijuana 1 Oz Or Less While Driving 25662: BP; Minor Possess Alcohol (Amended),2020-01-01 03:20,Signpost-14; Signpost-14
20-00003,22651(o)(1): VC; Stored Vehicle-Registration Expired Over 6 Months,2020-01-01 09:20,Dana St & Channing Wy
20-00004,Found Prop.: Found Property,2020-01-01 17:51,2601 Warring St #N. Bike Rack; Ckc-1
20-00005,664/459: PC; Attempted Burglary: Second Degree,2019-12-16 21:30,Mlk #404; Mlk
20-00006,487 (A): PC; Grand Theft:money/Labor/Property Over $950,2020-01-01 20:30,Manville Apts
20-00007,664/459: PC; Attempted Burglary: Second Degree,2020-01-01 22:28,2601 Warring St; Ckc-1 (Rev. 09/04/18)
20-00008,PRODAM: Property Damage,2020-01-02 08:45,California Hall
20-00009,5150: WI; 72 Hour Mental Health Hold,2020-01-02 13:22,Mlk
20-00010,Lost Prop.: Lost Property,2019-12-17 15:00,2495 Bancroft Wy
20-00011,PRODAM: Property Damage,2020-01-02 14:39,2650 Haste St
20-00012,594 (A): PC; Vandalism [under $1000],2020-01-02 22:01,1050 Monroe St (Rev. 09/04/18)
20-00013,22350: VC; Speeding,2020-01-03 02:12,University Dr
20-00014,22651(n): VC; Posted Tow Away Zone,2020-01-03 09:27,580 Ohlone Av
20-00015,Lost Prop.: Lost Property,2019-12-16 12:00,Campus; Campus
20-00016,594 (A): PC; Vandalism,2019-12-18 00:05,Gpb Garage; Gpb Garage
20-00017,647 (F): PC; Disorderly Conduct:intox Drug With Alcohol 11378: HS; Possess Controlled Substance For Sale 11364: HS; Possess Controlled Substance Paraphernalia 626: Exclusion Order Issued,2020-01-03 21:55,University Av & South Hall Road (Rev. 09/04/18)
20-00018,Found Prop.: Found Property,2020-01-04 02:52,Eshleman Hall
20-00019,OA Assist: Outside Agency Assist,2020-01-04 07:42,Durant Av & Dana St
20-00020,273.5 (A): PC; Inflict Corporal Injury On Spouse/Cohabitant 487 (A): PC; Grand Theft:money/Labor/Property Over $950 602: PC; Tresspassing 243 (E)(1): PC; Battery On Spouse/Co-Habitant/Etc,2020-01-04 08:44,755 Ohlone Av (Rev. 09/04/18)
20-00021,594: PC; Malicious Mischief/Vandalism,2020-01-05 08:43,2650 Durant Av
20-00022,22651(n): VC; Posted Tow Away Zone,2020-01-05 16:24,405 RED OAK #202
20-00023,OA Assist: Outside Agency Assist,2020-01-05 17:51,Golf Course Drive EAST Grizzly Peak Bl
20-00024,415: PC; Disturb The Peace,2020-01-05 20:07,945 Ohlone Av #954 (Rev. 09/04/18)
20-00025,Found Prop.: Found Property,2020-01-06 01:53,Ucpd; Ucpd
20-00026,5150: WI; 72 Hour Mental Health Hold,2020-01-06 07:13,Dwinelle Hall; Dwinelle Hall
20-00027,484: PC; Theft,2020-01-06 12:09,Life Science Addition; Life Science Addition
20-00028,459V-F: PC; Burglary Vehicle,2020-01-05 16:30,Signpost-18
20-00029,484 (A): PC; Theft,2019-12-30 15:15,300 Gooding Wy #310 (Rev. 09/04/18)
20-00030,487 (A): PC; Grand Theft:money/Labor/Property Over $950,2019-12-26 20:00,Shared Services #106b; Shared Services
20-00031,Caslty: Injury/Illness,2020-01-07 10:50,730 Kinkead Wy
20-00032,Lost Prop.: Lost Property,2019-12-29 00:00,2111 Bancroft Wy
20-00033,Lost Prop.: Lost Property,2019-12-06 16:00,2220 Piedmont Av; Haas Business School
20-00034,5150: WI; 72 Hour Mental Health Hold,2020-01-07 14:04,Tang Center
20-00035,Lost Prop.: Lost Property,2020-01-07 14:10,Unknown
20-00036,Lost Prop.: Lost Property,2019-12-24 04:45,Morgan Hall; Morgan Hall (Rev. 09/04/18)
20-00037,22651 (b): VC; Vehicle Parked Obstructing Normal Traffic,2020-01-08 07:26,2199 Addison St
20-00040,OA Assist: Outside Agency Assist MP: Missing Person,2020-01-08 13:00,7625 Bancroft Ave #F
20-00041,10-42: Welfare Check,2020-01-08 14:37,2112 Addison St #201 (Rev. 09/04/18)
20-00043,459: PC; Burglary: $950 Or Less,2020-01-08 23:03,Underhill Lot
20-00044,Lost Prop.: Lost Property,2019-12-29 00:00,Leconte Hall
20-00045,22651(B) VC - Towed Veh for blocking the roadway,2020-01-09 10:35,Signpost-28
20-00046,Lost Prop.: Lost Property,2020-01-09 14:17,Ucpd (Rev. 09/04/18)
20-00048,594: PC; Malicious Mischief/Vandalism,2020-01-10 08:48,2427 Dwight Wy
20-00049,484: PC; Theft,2020-01-07 15:56,735 West End Way #300
20-00050,484 G: PC; Theft By Use of Credit Card [over $400] (Amended),2020-01-02 12:00,Doe Annex; Doe Annex
20-00051,484: PC; Theft,2020-01-10 17:14,Moffitt Library (Rev. 09/04/18)
20-00052,Repo - Repossessed Vehicle,2020-01-11 02:18,540 RED OAK
20-00053,484: PC; Theft,2020-01-11 14:00,Pauley Ballroom; Pauley Ballroom
20-00054,Caslty: Injury/Illness,2020-01-11 16:52,Lawrence Hall of Science
20-00055,MISC: Miscellaneous Report,2020-01-11 20:24,Haas Pavilion (Rev. 09/04/18)
20-00057,594 (B)(2)(A): PC; Vandalism Less Than $400,2020-01-12 14:01,Structure B; Structure B
20-00058,Caslty: Injury/Illness,2020-01-12 15:37,2301 Bancroft Wy
20-00059,Caslty: Injury/Illness,2020-01-12 19:07,Haas Pavilion
20-00060,Found Prop.: Found Property,2020-01-12 21:31,Haas Pavilion; Haas Pavilion
20-00061,594 (A): PC; Vandalism [under $1000],2020-01-12 01:14,Ellsworth Parking Structure (Rev. 09/04/18)
20-00062,Lost Prop.: Lost Property,2020-01-13 09:21,Ucpd #Lobby; Ucpd
20-00063,626: Exclusion Order Issued,2020-01-13 12:17,Eshleman Hall; Eshleman Hall
20-00064,PRODAM: Property Damage,2020-01-13 13:12,Upper Hearst Structure; Upper Hearst Structure
20-00065,594 (A)(1): PC; Maliciously Deface W/Paint/Etc,2020-01-13 20:10,Life Science Addition; Life Science Addition (Rev. 09/04/18)
20-00066,594 (B)(2)(A): PC; Vandalism Less Than $400 1203.2: PC; Violation of Probation,2020-01-14 12:35,2222 Bancroft Wy; Tang Center
20-00067,484: PC; Theft OABPD: Outside Assist - BPD,2020-01-14 12:45,Bowditch St & Bancroft Wy
20-00068,148.4 (A)(1): PC; Tamper/Etc With Fire Alarm/Etc,2020-01-10 21:24,Asuc Garage; Asuc Garage
20-00069,MP: Missing Person,2020-01-14 19:03,Peoples Park; Peoples Park
20-00070,Found Prop.: Found Property Battery Reported by a CSA,2020-01-14 22:41,Peoples Park CKC Camps (Rev. 09/04/18)
20-00073,Lost Prop.: Lost Property,2019-11-15 08:08,Unknown
20-00074,Lost Prop.: Lost Property,2020-01-15 10:13,Li Ka Shing; Li Ka Shing
20-00075,Lost Prop.: Lost Property,2020-01-15 14:37,Li Ka Shing; Li Ka Shing
20-00076,484 (A): PC; Theft,2020-01-14 03:03,335 Ohlone Av #104 (Rev. 09/04/18)
20-00077,594 (A)(1): PC; Maliciously Deface W/Paint/Etc,2020-01-15 23:45,Underhill Lot; Underhill Lot
20-00078,OABPD: Outside Assist - BPD,2020-01-16 08:04,2199 Addison St
20-00079,Deceased: Deceased Person,2020-01-15 22:00,Lbnl-23 #310 (Rev. 09/04/18)
19-00780,MISC: Miscellaneous Report,2020-01-17 13:05,SF County Jail
20-00080,Civil: Civil Information Report,2020-01-15 22:50,Internet
20-00081,594 (B)(2)(A): PC; Vandalism Less Than $400,2020-01-17 08:52,Valley Life Science Bldg; Valley Life Science Bldg
20-00086,415: PC; Disturb The Peace,2020-01-17 14:26,Lower Sproul Pz
20-00088,RULES: Rules Violation,2020-01-17 15:47,2520 Channing Wy #331
20-00089,459: PC; Burglary: First Degree,2020-01-17 01:10,Ellsworth Parking Structure; Ellsworth Parking Structure (Rev. 09/04/18)
20-00092,10851 (A): VC; Take Vehicle W/O Owner's Consent/Vehicle Theft 1203.2: PC; Violation of Probation,2020-01-18 12:09,Haas Pavilion Loading Dock Area
